"screen","hardcoded_count"
"lib/screens/utility/reports_screen.dart","6"
"lib/screens/agendamentos/agendamentos_lista_screen.dart","5"
"lib/screens/users/niveis_acesso_screen.dart","3"
"lib/screens/apartments/apartment_detail_screen.dart","3"
"lib/screens/detalhe_ativo_screen.dart","3"
"lib/screens/agendamentos/funcionario_aceitar_agendamento_screen.dart","2"
"lib/screens/maintenance/manutencao_preventiva_lista_screen.dart","2"
"lib/screens/solicitacoes/solicitacao_lista_screen.dart","2"
"lib/screens/agendamentos/editar_agendamento_screen.dart","1"
"lib/screens/agendamentos/agendamento_detalhes_screen.dart","1"
"lib/screens/utility/qr_code_batch_screen.dart","1"
"lib/screens/core/dashboard_screen.dart","1"
"lib/screens/core/maintenance_list_screen_v2.dart","1"
"lib/screens/users/manage_residents_screen.dart","1"
"lib/screens/gestao_ativos_screen.dart","1"
"lib/screens/utility/manage_request_types_screen.dart","1"
"lib/screens/agendamentos/criar_agendamento_manutencao_simples_screen.dart","1"
"lib/screens/auth/login_screen.dart","1"
